step,avg_reward,success_rate,avg_length,q_loss,actor_loss,alpha
10000,-119.1481157258153,0.0,866.1,95.17750549316406,-31.847270965576172,0.16701683402061462
20000,37.06223106663674,0.25,598.2,19.16706085205078,-52.05315017700195,0.1433461755514145
30000,-85.74540093503893,0.05,780.05,306.7109375,-63.30955123901367,0.1792420744895935
40000,0.7437735505402088,0.2,582.5,20.62093734741211,-99.49639892578125,0.12584032118320465
50000,3.0868856048211457,0.2,606.65,23.34372329711914,-87.1636734008789,0.12527164816856384
60000,-58.1376398447901,0.1,636.6,220.3260498046875,-81.86367797851562,0.10911642014980316
70000,-61.30272404365242,0.1,861.25,31.546039581298828,-74.59366607666016,0.11421128362417221
80000,-111.42225174456834,0.0,690.7,22.877384185791016,-58.270172119140625,0.10180499404668808
90000,31.282371140643953,0.25,736.75,28.704212188720703,-64.07666778564453,0.08686772733926773
100000,46.29590454027057,0.3,613.15,21.188007354736328,-56.91518783569336,0.07939069718122482
110000,-1.4414917333051562,0.2,592.25,15.974771499633789,-47.564430236816406,0.07019277662038803
120000,118.22077515907586,0.4,474.0,19.29036521911621,-32.41315841674805,0.07032983750104904
130000,60.7674425220117,0.3,563.35,29.526317596435547,-35.759437561035156,0.08842683583498001
140000,151.7036931393668,0.45,462.6,956.2041625976562,-38.93043518066406,0.09465502947568893
150000,124.1079380525276,0.4,435.4,16.116722106933594,-49.26515197753906,0.09464911371469498
160000,271.9840417979285,0.65,387.05,34.2296142578125,-70.66865539550781,0.11642453074455261
170000,241.4565213754773,0.6,334.15,26.894744873046875,-87.8881607055664,0.11769887804985046
180000,276.0400183876976,0.65,387.3,42.156005859375,-78.96715545654297,0.1190103217959404
190000,333.46747238636016,0.75,218.5,125.48978424072266,-94.12863159179688,0.11025823652744293
200000,309.48996411599217,0.7,278.8,34.23290252685547,-86.03643798828125,0.11878912150859833
210000,246.28598445300014,0.6,360.55,56.305809020996094,-89.97514343261719,0.11658044159412384
220000,371.51687263846395,0.8,238.5,29.122875213623047,-90.61219787597656,0.12770570814609528
230000,369.6108083937317,0.8,270.9,26.01630401611328,-104.65437316894531,0.1237156093120575
240000,304.1822037167847,0.7,296.05,45.315486907958984,-105.64602661132812,0.10981814563274384
250000,391.8079009180889,0.85,265.1,23.39413833618164,-97.2422866821289,0.11780606210231781
260000,307.8255422675982,0.7,300.2,37.13984680175781,-98.67669677734375,0.11515413224697113
270000,367.7132799154148,0.8,210.5,45.47429656982422,-107.24742889404297,0.10997996479272842
280000,401.6379892827943,0.85,194.0,29.616886138916016,-104.02821350097656,0.12324894964694977
290000,429.2852250887081,0.9,174.65,23.788732528686523,-116.75865173339844,0.131765678524971
300000,397.94028563424945,0.85,221.6,37.21506881713867,-125.21363067626953,0.1253352165222168
310000,426.4734637340531,0.9,200.9,115.7170639038086,-138.5987548828125,0.12161937355995178
320000,400.3321515604854,0.85,187.0,68.705322265625,-137.22055053710938,0.12153021991252899
330000,400.20206569470463,0.85,188.4,37.88018798828125,-135.1161346435547,0.12345166504383087
340000,427.1610150998458,0.9,219.05,74.6229248046875,-131.867919921875,0.12019911408424377
350000,396.68212072476746,0.85,224.7,114.94734191894531,-128.39627075195312,0.12363646179437637
360000,373.10926465373484,0.8,216.7,42.2494010925293,-134.40170288085938,0.1299646496772766
370000,463.2329009292647,0.95,124.7,39.044883728027344,-141.50315856933594,0.11936578154563904
380000,398.68888115249575,0.85,254.1,21.89313316345215,-133.6915283203125,0.12361329793930054
390000,434.08563042040913,0.9,143.5,56.23746871948242,-127.41605377197266,0.12053369730710983
400000,401.8796608202159,0.85,188.5,41.81193923950195,-139.9709014892578,0.12010813504457474
410000,433.33135633375497,0.9,144.5,72.22782897949219,-127.99826049804688,0.12451032549142838
420000,342.2168970491737,0.75,213.9,45.182403564453125,-141.0067138671875,0.13004006445407867
430000,370.31122573260217,0.8,190.6,63.35220718383789,-143.56846618652344,0.1308201551437378
440000,430.8442392449826,0.9,214.75,43.15037536621094,-147.40267944335938,0.13718093931674957
450000,368.1995616709813,0.8,299.45,28.90801239013672,-147.6473846435547,0.1301315277814865
460000,463.15194217674434,0.95,136.55,41.4097900390625,-143.94708251953125,0.12930530309677124
470000,369.9567999681458,0.8,280.9,36.62529373168945,-151.22669982910156,0.13871493935585022
